x0,814e83b033ed118e7e1698344cd1daea6175278fbd3f61c13fdcdf08c8a9dabd
Era,1,Eratimeout,300
F1,35dc50eb3cbf8754273f8290c9e99f6b,e1,79
"000000000000000000000000000000000000000000000000000000000000047f",1148,4612612,4612612
"000000000000000000000000000000000000000000000000000000000000052b",171,668871,5281483
"000000000000000000000000000000000000000000000000000000000000081f",753,1302525,6584008
"000000000000000000000000000000000000000000000000000000000000089e",127,105368,6689376
"000000000000000000000000000000000000000000000000000000000000091e",127,407212,7096588
"0000000000000000000000000000000000000000000000000000000000000bef",719,2476438,9573026
"0000000000000000000000000000000000000000000000000000000000000ca3",179,389390,9962416
"0000000000000000000000000000000000000000000000000000000000000fc0",794,2791191,12753607
"00000000000000000000000000000000000000000000000000000000000013fa",1078,3667272,16420879
"000000000000000000000000000000000000000000000000000000000000144d",82,38270,16459149
"0000000000000000000000000000000000000000000000000000000000001495",72,23200,16482349
"0000000000000000000000000000000000000000000000000000000000001553",189,350072,16832421
"00000000000000000000000000000000000000000000000000000000000016e8",404,1764456,18596877
"0000000000000000000000000000000000000000000000000000000000001759",112,292039,18888916
"0000000000000000000000000000000000000000000000000000000000001817",189,176074,19064990
"000000000000000000000000000000000000000000000000000000000000187d",102,236267,19301257
"0000000000000000000000000000000000000000000000000000000000001890",19,28213,19329470
"00000000000000000000000000000000000000000000000000000000000018b3",35,20169,19349639
"0000000000000000000000000000000000000000000000000000000000001b46",656,2134191,21483830
"0000000000000000000000000000000000000000000000000000000000001e9b",850,3990264,25474094
"0000000000000000000000000000000000000000000000000000000000001f66",202,971837,26445931
"00000000000000000000000000000000000000000000000000000000000020ca",355,1095777,27541708
"00000000000000000000000000000000000000000000000000000000000021d8",269,1505585,29047293
"0000000000000000000000000000000000000000000000000000000000002218",63,139040,29186333
"00000000000000000000000000000000000000000000000000000000000023df",454,1628293,30814626
"00000000000000000000000000000000000000000000000000000000000024c2",226,923733,31738359
"00000000000000000000000000000000000000000000000000000000000024ed",43,103997,31842356
"0000000000000000000000000000000000000000000000000000000000002844",851,4203029,36045385
"00000000000000000000000000000000000000000000000000000000000028d7",147,975357,37020742
"0000000000000000000000000000000000000000000000000000000000002a9c",451,1919306,38940048
"0000000000000000000000000000000000000000000000000000000000002c5b",445,1435916,40375964
"0000000000000000000000000000000000000000000000000000000000002d82",294,1260828,41636792
"00000000000000000000000000000000000000000000000000000000000030da",853,1568771,43205563
"000000000000000000000000000000000000000000000000000000000000320a",302,327306,43532869
"0000000000000000000000000000000000000000000000000000000000003257",77,148207,43681076
"00000000000000000000000000000000000000000000000000000000000032b9",98,595791,44276867
"00000000000000000000000000000000000000000000000000000000000032cc",19,11018,44287885
"00000000000000000000000000000000000000000000000000000000000032fc",48,36036,44323921
"00000000000000000000000000000000000000000000000000000000000033e9",236,316504,44640425
"00000000000000000000000000000000000000000000000000000000000033fe",21,7542,44647967
"000000000000000000000000000000000000000000000000000000000000343e",63,256396,44904363
"0000000000000000000000000000000000000000000000000000000000003766",805,3292485,48196848
"0000000000000000000000000000000000000000000000000000000000003aca",865,1586292,49783140
"0000000000000000000000000000000000000000000000000000000000003be8",285,882336,50665476
"00000000000000000000000000000000000000000000000000000000000041a6",1464,6128076,56793552
"0000000000000000000000000000000000000000000000000000000000004311",361,1453210,58246762
"00000000000000000000000000000000000000000000000000000000000043c1",176,748237,58994999
"000000000000000000000000000000000000000000000000000000000000478a",965,2616359,61611358
"000000000000000000000000000000000000000000000000000000000000482d",162,739748,62351106
"00000000000000000000000000000000000000000000000000000000000049a9",379,1467971,63819077
"00000000000000000000000000000000000000000000000000000000000049f0",71,314357,64133434
"00000000000000000000000000000000000000000000000000000000000049fc",12,59592,64193026
"0000000000000000000000000000000000000000000000000000000000004a92",149,252909,64445935
"0000000000000000000000000000000000000000000000000000000000004f6a",1235,2230117,66676052
"0000000000000000000000000000000000000000000000000000000000005039",206,772866,67448918
"0000000000000000000000000000000000000000000000000000000000005188",334,1014662,68463580
"0000000000000000000000000000000000000000000000000000000000005586",1018,3814622,72278202
"00000000000000000000000000000000000000000000000000000000000055bc",54,35703,72313905
