x0,3b7db59ddf063201db7fe352d68f1e01cb59f7e1f7930baf3962ef3b7e858b28
Era,1,Eratimeout,300
F1,d45652151a3c714aaa4064a4fe2ee9b9,e1,74
"0000000000000000000000000000000000000000000000000000000000000011",18,72793,72793
"000000000000000000000000000000000000000000000000000000000000002c",27,19906,92699
"000000000000000000000000000000000000000000000000000000000000003d",17,50282,142981
"0000000000000000000000000000000000000000000000000000000000000122",228,1016695,1159676
"0000000000000000000000000000000000000000000000000000000000000134",18,63767,1223443
"000000000000000000000000000000000000000000000000000000000000013e",10,66398,1289841
"0000000000000000000000000000000000000000000000000000000000000226",231,1007199,2297040
"0000000000000000000000000000000000000000000000000000000000000254",46,497560,2794600
"0000000000000000000000000000000000000000000000000000000000000269",21,121685,2916285
"0000000000000000000000000000000000000000000000000000000000000289",32,128785,3045070
"000000000000000000000000000000000000000000000000000000000000029f",22,104047,3149117
"0000000000000000000000000000000000000000000000000000000000000329",137,716667,3865784
"0000000000000000000000000000000000000000000000000000000000000335",12,107352,3973136
"0000000000000000000000000000000000000000000000000000000000000360",43,74629,4047765
"00000000000000000000000000000000000000000000000000000000000003ac",76,412282,4460047
"00000000000000000000000000000000000000000000000000000000000003f3",71,469558,4929605
"0000000000000000000000000000000000000000000000000000000000000434",64,195444,5125049
"0000000000000000000000000000000000000000000000000000000000000451",29,168483,5293532
"000000000000000000000000000000000000000000000000000000000000046d",28,8759,5302291
"0000000000000000000000000000000000000000000000000000000000000492",37,169156,5471447
"00000000000000000000000000000000000000000000000000000000000004f6",100,267125,5738572
"00000000000000000000000000000000000000000000000000000000000005dd",230,1046043,6784615
"00000000000000000000000000000000000000000000000000000000000005f4",23,7567,6792182
"0000000000000000000000000000000000000000000000000000000000000645",80,44985,6837167
"0000000000000000000000000000000000000000000000000000000000000662",29,164191,7001358
"00000000000000000000000000000000000000000000000000000000000006db",121,480458,7481816
"00000000000000000000000000000000000000000000000000000000000006f3",24,43493,7525309
"0000000000000000000000000000000000000000000000000000000000000750",92,74829,7600138
"0000000000000000000000000000000000000000000000000000000000000778",40,49592,7649730
"00000000000000000000000000000000000000000000000000000000000007e8",112,373543,8023273
"000000000000000000000000000000000000000000000000000000000000080d",36,126598,8149871
"00000000000000000000000000000000000000000000000000000000000008d6",201,277208,8427079
"00000000000000000000000000000000000000000000000000000000000008fc",38,189568,8616647
"000000000000000000000000000000000000000000000000000000000000094f",82,209054,8825701
"0000000000000000000000000000000000000000000000000000000000000a13",195,261213,9086914
"0000000000000000000000000000000000000000000000000000000000000a57",68,343938,9430852
"0000000000000000000000000000000000000000000000000000000000000a72",27,70785,9501637
"0000000000000000000000000000000000000000000000000000000000000a85",19,107554,9609191
"0000000000000000000000000000000000000000000000000000000000000abf",58,133079,9742270
"0000000000000000000000000000000000000000000000000000000000000ac0",1,78,9742348
"0000000000000000000000000000000000000000000000000000000000000ae7",39,4029,9746377
"0000000000000000000000000000000000000000000000000000000000000b47",95,181392,9927769
"0000000000000000000000000000000000000000000000000000000000000bf5",174,358944,10286713
"0000000000000000000000000000000000000000000000000000000000000bfa",5,9664,10296377
"0000000000000000000000000000000000000000000000000000000000000c7f",132,408852,10705229
"0000000000000000000000000000000000000000000000000000000000000d6f",239,357777,11063006
"0000000000000000000000000000000000000000000000000000000000000d7f",16,5465,11068471
"0000000000000000000000000000000000000000000000000000000000000d83",4,4966,11073437
"0000000000000000000000000000000000000000000000000000000000000dea",103,73781,11147218
"0000000000000000000000000000000000000000000000000000000000000dec",2,3046,11150264
"0000000000000000000000000000000000000000000000000000000000000e20",51,111702,11261966
"0000000000000000000000000000000000000000000000000000000000000e51",49,224235,11486201
"0000000000000000000000000000000000000000000000000000000000000e71",32,61110,11547311
"0000000000000000000000000000000000000000000000000000000000000e83",18,106032,11653343
"0000000000000000000000000000000000000000000000000000000000000eba",55,244390,11897733
"0000000000000000000000000000000000000000000000000000000000000ebf",5,13952,11911685
"0000000000000000000000000000000000000000000000000000000000000ed6",23,60343,11972028
"0000000000000000000000000000000000000000000000000000000000000ed8",2,157,11972185
"0000000000000000000000000000000000000000000000000000000000000f1a",65,334944,12307129
"0000000000000000000000000000000000000000000000000000000000000f36",28,106310,12413439
"0000000000000000000000000000000000000000000000000000000000000f45",15,23369,12436808
"0000000000000000000000000000000000000000000000000000000000000fb2",109,352060,12788868
"0000000000000000000000000000000000000000000000000000000000000ffa",72,93088,12881956
"0000000000000000000000000000000000000000000000000000000000001012",23,28407,12910363
"0000000000000000000000000000000000000000000000000000000000001039",39,176469,13086832
"0000000000000000000000000000000000000000000000000000000000001046",13,3425,13090257
