x0,3b7db59ddf063201db7fe352d68f1e01cb59f7e1f7930baf3962ef3b7e858b28
Era,1,Eratimeout,300
F1,d45652151a3c714aaa4064a4fe2ee9b9,e1,79
"0000000000000000000000000000000000000000000000000000000000000060",97,90594,90594
"0000000000000000000000000000000000000000000000000000000000000175",276,749566,840160
"000000000000000000000000000000000000000000000000000000000000031e",423,1609170,2449330
"0000000000000000000000000000000000000000000000000000000000000601",736,2889915,5339245
"00000000000000000000000000000000000000000000000000000000000006a1",160,830615,6169860
"0000000000000000000000000000000000000000000000000000000000000813",368,898410,7068270
"000000000000000000000000000000000000000000000000000000000000082f",28,29701,7097971
"0000000000000000000000000000000000000000000000000000000000000fd9",1955,5844428,12942399
"0000000000000000000000000000000000000000000000000000000000001265",649,1925739,14868138
"00000000000000000000000000000000000000000000000000000000000012ef",138,190017,15058155
"0000000000000000000000000000000000000000000000000000000000001307",23,50226,15108381
"000000000000000000000000000000000000000000000000000000000000135f",88,352684,15461065
"0000000000000000000000000000000000000000000000000000000000001366",7,49913,15510978
"0000000000000000000000000000000000000000000000000000000000001651",744,3014117,18525095
"00000000000000000000000000000000000000000000000000000000000016bf",110,534970,19060065
"00000000000000000000000000000000000000000000000000000000000017b5",245,1019665,20079730
"0000000000000000000000000000000000000000000000000000000000001ab1",761,2226758,22306488
"0000000000000000000000000000000000000000000000000000000000001ac9",24,46096,22352584
"0000000000000000000000000000000000000000000000000000000000001f4c",1150,1928734,24281318
"00000000000000000000000000000000000000000000000000000000000025fd",1707,2764259,27045577
"00000000000000000000000000000000000000000000000000000000000026ac",174,918276,27963853
"0000000000000000000000000000000000000000000000000000000000002973",708,2390166,30354019
"0000000000000000000000000000000000000000000000000000000000002d4e",983,2654771,33008790
"0000000000000000000000000000000000000000000000000000000000002da2",84,61864,33070654
"0000000000000000000000000000000000000000000000000000000000002f5c",440,951132,34021786
"00000000000000000000000000000000000000000000000000000000000037d9",2165,7976433,41998219
"0000000000000000000000000000000000000000000000000000000000003941",358,1343647,43341866
"00000000000000000000000000000000000000000000000000000000000039f1",176,504060,43845926
"0000000000000000000000000000000000000000000000000000000000003bed",506,1767466,45613392
"0000000000000000000000000000000000000000000000000000000000003cf8",266,1447165,47060557
"0000000000000000000000000000000000000000000000000000000000003f2f",564,1306793,48367350
"000000000000000000000000000000000000000000000000000000000000402b",251,906337,49273687
"000000000000000000000000000000000000000000000000000000000000449f",1136,3632180,52905867
"00000000000000000000000000000000000000000000000000000000000045e6",326,1313852,54219719
"0000000000000000000000000000000000000000000000000000000000004b65",1401,5033247,59252966
"0000000000000000000000000000000000000000000000000000000000004bf3",142,638041,59891007
"0000000000000000000000000000000000000000000000000000000000004c7c",136,602386,60493393
"0000000000000000000000000000000000000000000000000000000000004dc2",325,1211451,61704844
"000000000000000000000000000000000000000000000000000000000000503e",633,2653945,64358789
"00000000000000000000000000000000000000000000000000000000000050ad",111,505401,64864190
"000000000000000000000000000000000000000000000000000000000000510b",93,569617,65433807
"0000000000000000000000000000000000000000000000000000000000005291",389,1835917,67269724
"0000000000000000000000000000000000000000000000000000000000005822",1419,2879006,70148730
"0000000000000000000000000000000000000000000000000000000000005be5",960,3276988,73425718
"0000000000000000000000000000000000000000000000000000000000005fc5",988,2223683,75649401
"0000000000000000000000000000000000000000000000000000000000006026",96,57756,75707157
"000000000000000000000000000000000000000000000000000000000000664d",1569,2537637,78244794
"0000000000000000000000000000000000000000000000000000000000006739",235,242198,78486992
"0000000000000000000000000000000000000000000000000000000000006da0",1633,3964520,82451512
"0000000000000000000000000000000000000000000000000000000000006f15",371,1065847,83517359
"0000000000000000000000000000000000000000000000000000000000006f4d",56,324368,83841727
"00000000000000000000000000000000000000000000000000000000000070b1",355,927910,84769637
"00000000000000000000000000000000000000000000000000000000000071d5",291,570736,85340373
"000000000000000000000000000000000000000000000000000000000000733a",355,766218,86106591
