x0,3b922104b70c94b592659573a65c60fe2f225e395a542e48de5dc5a8269fe94f
Era,1,Eratimeout,300
F1,69ebb13551308edfa69704666f23de7f,e1,74
"0000000000000000000000000000000000000000000000000000000000000018",25,4765,4765
"000000000000000000000000000000000000000000000000000000000000004d",53,15415,20180
"000000000000000000000000000000000000000000000000000000000000006c",31,8635,28815
"0000000000000000000000000000000000000000000000000000000000000077",11,5811,34626
"000000000000000000000000000000000000000000000000000000000000007f",8,5250,39876
"000000000000000000000000000000000000000000000000000000000000011c",156,195371,235247
"0000000000000000000000000000000000000000000000000000000000000166",74,257150,492397
"00000000000000000000000000000000000000000000000000000000000001be",88,285098,777495
"00000000000000000000000000000000000000000000000000000000000001c6",8,23051,800546
"000000000000000000000000000000000000000000000000000000000000021c",85,184509,985055
"000000000000000000000000000000000000000000000000000000000000023d",33,73164,1058219
"0000000000000000000000000000000000000000000000000000000000000276",57,101326,1159545
"000000000000000000000000000000000000000000000000000000000000028b",21,150382,1309927
"000000000000000000000000000000000000000000000000000000000000028c",1,132,1310059
"0000000000000000000000000000000000000000000000000000000000000298",12,40006,1350065
"00000000000000000000000000000000000000000000000000000000000002e5",77,123334,1473399
"00000000000000000000000000000000000000000000000000000000000002eb",6,12808,1486207
"0000000000000000000000000000000000000000000000000000000000000363",119,465302,1951509
"0000000000000000000000000000000000000000000000000000000000000365",2,273,1951782
"000000000000000000000000000000000000000000000000000000000000037c",23,71188,2022970
"0000000000000000000000000000000000000000000000000000000000000398",28,169677,2192647
"000000000000000000000000000000000000000000000000000000000000048f",246,1044003,3236650
"0000000000000000000000000000000000000000000000000000000000000503",115,605160,3841810
"0000000000000000000000000000000000000000000000000000000000000519",22,9877,3851687
"0000000000000000000000000000000000000000000000000000000000000624",266,664541,4516228
"0000000000000000000000000000000000000000000000000000000000000665",65,257502,4773730
"0000000000000000000000000000000000000000000000000000000000000750",234,604614,5378344
"000000000000000000000000000000000000000000000000000000000000076c",28,338083,5716427
"0000000000000000000000000000000000000000000000000000000000000778",12,1327,5717754
"0000000000000000000000000000000000000000000000000000000000000792",26,168325,5886079
"00000000000000000000000000000000000000000000000000000000000007a8",22,60667,5946746
"00000000000000000000000000000000000000000000000000000000000007fd",85,260780,6207526
"0000000000000000000000000000000000000000000000000000000000000843",69,40145,6247671
"0000000000000000000000000000000000000000000000000000000000000846",3,30735,6278406
"0000000000000000000000000000000000000000000000000000000000000889",67,196224,6474630
"000000000000000000000000000000000000000000000000000000000000089d",20,25864,6500494
"00000000000000000000000000000000000000000000000000000000000008b7",26,78363,6578857
"00000000000000000000000000000000000000000000000000000000000008d4",29,209362,6788219
"00000000000000000000000000000000000000000000000000000000000009ce",249,624600,7412819
"0000000000000000000000000000000000000000000000000000000000000a0a",59,222498,7635317
"0000000000000000000000000000000000000000000000000000000000000a4b",65,380772,8016089
"0000000000000000000000000000000000000000000000000000000000000a55",10,5140,8021229
"0000000000000000000000000000000000000000000000000000000000000a5c",7,43107,8064336
"0000000000000000000000000000000000000000000000000000000000000ac8",108,407538,8471874
"0000000000000000000000000000000000000000000000000000000000000b39",112,550436,9022310
"0000000000000000000000000000000000000000000000000000000000000c08",206,702507,9724817
"0000000000000000000000000000000000000000000000000000000000000d46",317,763365,10488182
"0000000000000000000000000000000000000000000000000000000000000d6c",38,8955,10497137
"0000000000000000000000000000000000000000000000000000000000000dbe",82,90112,10587249
"0000000000000000000000000000000000000000000000000000000000000e5a",155,598211,11185460
"0000000000000000000000000000000000000000000000000000000000000e5c",2,14043,11199503
"0000000000000000000000000000000000000000000000000000000000000e5d",1,75,11199578
"0000000000000000000000000000000000000000000000000000000000000e8c",47,113260,11312838
"0000000000000000000000000000000000000000000000000000000000000ef2",102,456000,11768838
"0000000000000000000000000000000000000000000000000000000000000f30",61,270645,12039483
"0000000000000000000000000000000000000000000000000000000000000f38",8,1294,12040777
"0000000000000000000000000000000000000000000000000000000000000fa0",104,259919,12300696
"0000000000000000000000000000000000000000000000000000000000000fa5",5,642,12301338
"0000000000000000000000000000000000000000000000000000000000000fb8",19,32963,12334301
"0000000000000000000000000000000000000000000000000000000000000fe8",48,29515,12363816
"000000000000000000000000000000000000000000000000000000000000108b",162,182603,12546419
"000000000000000000000000000000000000000000000000000000000000109e",19,89483,12635902
"00000000000000000000000000000000000000000000000000000000000010d0",50,242995,12878897
"0000000000000000000000000000000000000000000000000000000000001139",104,99882,12978779
"0000000000000000000000000000000000000000000000000000000000001141",8,1003,12979782
"00000000000000000000000000000000000000000000000000000000000011d4",147,105070,13084852
"0000000000000000000000000000000000000000000000000000000000001280",171,107182,13192034
"000000000000000000000000000000000000000000000000000000000000128b",11,3490,13195524
"00000000000000000000000000000000000000000000000000000000000012fd",114,57229,13252753
"0000000000000000000000000000000000000000000000000000000000001353",85,312789,13565542
"000000000000000000000000000000000000000000000000000000000000135b",8,1461,13567003
"000000000000000000000000000000000000000000000000000000000000136c",17,7299,13574302
"000000000000000000000000000000000000000000000000000000000000137e",18,39833,13614135
"00000000000000000000000000000000000000000000000000000000000013e5",103,373340,13987475
"00000000000000000000000000000000000000000000000000000000000013f1",12,7277,13994752
"000000000000000000000000000000000000000000000000000000000000140c",26,6503,14001255
"0000000000000000000000000000000000000000000000000000000000001418",12,8004,14009259
"0000000000000000000000000000000000000000000000000000000000001448",48,64425,14073684
"00000000000000000000000000000000000000000000000000000000000014cc",132,119353,14193037
"0000000000000000000000000000000000000000000000000000000000001591",196,388795,14581832
"00000000000000000000000000000000000000000000000000000000000015b8",39,121098,14702930
"0000000000000000000000000000000000000000000000000000000000001631",120,361673,15064603
"0000000000000000000000000000000000000000000000000000000000001659",40,159899,15224502
"0000000000000000000000000000000000000000000000000000000000001677",30,382917,15607419
"0000000000000000000000000000000000000000000000000000000000001680",9,3920,15611339
"00000000000000000000000000000000000000000000000000000000000016e1",97,691555,16302894
"00000000000000000000000000000000000000000000000000000000000016f2",17,48406,16351300
"000000000000000000000000000000000000000000000000000000000000173a",71,211734,16563034
"000000000000000000000000000000000000000000000000000000000000175b",33,102921,16665955
"000000000000000000000000000000000000000000000000000000000000176a",15,53143,16719098
"0000000000000000000000000000000000000000000000000000000000001787",29,199965,16919063
"00000000000000000000000000000000000000000000000000000000000017ee",103,395007,17314070
"000000000000000000000000000000000000000000000000000000000000180d",30,21184,17335254
"0000000000000000000000000000000000000000000000000000000000001820",19,14559,17349813
"00000000000000000000000000000000000000000000000000000000000018b1",145,327157,17676970
"0000000000000000000000000000000000000000000000000000000000001900",78,213129,17890099
"0000000000000000000000000000000000000000000000000000000000001950",80,170541,18060640
"00000000000000000000000000000000000000000000000000000000000019ad",93,71421,18132061
"00000000000000000000000000000000000000000000000000000000000019b0",3,269,18132330
"00000000000000000000000000000000000000000000000000000000000019e1",49,40073,18172403
"0000000000000000000000000000000000000000000000000000000000001a0c",42,37614,18210017
